,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MT-ATP6,MT-ATP8
MT-CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO2,0.3061370686868976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO3,0.23394315574365152,0.4133753981724216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CYB,0.13837725123671296,0.4263929275215724,0.3644629188603982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND1,0.05174172919869895,0.19548734120979755,0.2862491631943249,0.2625769556665923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND2,0.06568567950543444,0.25880726997539805,0.2340657476588455,0.28479125014198936,0.19531989346467177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND3,0.14708795497244315,0.27294886713759214,0.25169576807760863,0.26309239878433827,0.2026981157718606,0.15850222805193598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4,0.10246902870754,0.2371515468290519,0.18870540054061272,0.2354928527261313,0.1440458823269996,0.20079795235423237,0.1763769764359692,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4L,0.14202113370363328,0.3803020345525237,0.3187067526256088,0.3708138970508677,0.23139571668388886,0.21201232954898444,0.27199916218506576,0.2734633039679375,0.0,0.0,0.0,0.0,0.0
MT-ND5,0.14679986276323637,0.16855582474424985,0.14954021963130004,0.19406435195262062,0.15899634378030902,0.12675453553241292,0.14198798338938934,0.14288382474335704,0.189866505177789,0.0,0.0,0.0,0.0
MT-ND6,0.09265490127959715,0.06375625485988562,0.05444509532209414,0.0686289044765733,0.07477509792510131,0.04000488012783365,0.05246614168276291,0.0016086065531402758,0.04785601024168333,0.29535774532384185,0.0,0.0,0.0
MT-ATP6,0.11123790949470769,0.20653003223635868,0.18396649313837918,0.16421391631005314,0.1172226189178116,0.15475579975182202,0.12028910939580602,0.1457777097077278,0.1484487086482028,0.08831564513674706,0.014045715821497497,0.0,0.0
MT-ATP8,0.12474039507648543,0.24474631968493324,0.30412097993649817,0.24691406148210668,0.2931521085594476,0.18449232106269808,0.2316039457440246,0.1426090182092187,0.2587407220251508,0.17692745353118686,0.0850466055765946,0.12118212063501867,0.0
